sent_id,doc_id,sent_index,date,speaker,sentence
1-0,1,0,2022-01-20,Board of Governors of the Federal Reserve System,"For a nation's economy to function effectively, its citizens must have confidence in its money and payment services."
1-1,1,1,2022-01-20,Board of Governors of the Federal Reserve System,"The Federal Reserve, as the nation's central bank, works to maintain the public's confidence by fostering monetary stability, financial stability, and a safe and efficient payment system."
1-2,1,2,2022-01-20,Board of Governors of the Federal Reserve System,This paper is the first step in a public discussion between the Federal Reserve and stakeholders about central bank digital currencies (CBDCs).
1-3,1,3,2022-01-20,Board of Governors of the Federal Reserve System,"For the purpose of this paper, a CBDC is defined as a digital liability of a central bank that is widely available to the general public."
1-4,1,4,2022-01-20,Board of Governors of the Federal Reserve System,"In this respect, it is analogous to a digital form of paper money."
1-5,1,5,2022-01-20,Board of Governors of the Federal Reserve System,"The paper has been designed to foster a broad and transparent public dialogue about CBDCs in general, and about the potential benefits and risks of a U.S. CBDC."
1-6,1,6,2022-01-20,Board of Governors of the Federal Reserve System,"The paper is not intended to advance any specific policy outcome, nor is it intended to signal that the Federal Reserve will make any imminent decisions about the appropriateness of issuing a U.S. CBDC."
1-7,1,7,2022-01-20,Board of Governors of the Federal Reserve System,Payment technologies offered by the Federal Reserve have evolved over time.
1-8,1,8,2022-01-20,Board of Governors of the Federal Reserve System,"In the Federal Reserve's early years, it established a national check-clearing system and used dedicated telegraph wires to transfer funds between banks."
1-9,1,9,2022-01-20,Board of Governors of the Federal Reserve System,"In the 1970s, the Federal Reserve developed an automated clearinghouse (ACH) system that offered an electronic alternative to paper checks."
1-10,1,10,2022-01-20,Board of Governors of the Federal Reserve System,"And in 2019, the Federal Reserve committed to building the FedNow Service, which will provide real-time, around-the-clock interbank payments, every day of the year."
1-11,1,11,2022-01-20,Board of Governors of the Federal Reserve System,"Recent technological advances have ushered in a wave of new private-sector financial products and services, including digital wallets, mobile payment apps, and new digital assets such as cryptocurrencies and stablecoins."
1-12,1,12,2022-01-20,Board of Governors of the Federal Reserve System,These technological advances have also led central banks around the globe to explore the potential benefits and risks of issuing a CBDC.
1-13,1,13,2022-01-20,Board of Governors of the Federal Reserve System,"Federal Reserve policymakers and staff have studied CBDC closely for several years, guided by an understanding that any U.S. CBDC should, among other things"
1-14,1,14,2022-01-20,Board of Governors of the Federal Reserve System,"provide benefits to households, businesses, and the overall economy that exceed any costs and risks;"
1-15,1,15,2022-01-20,Board of Governors of the Federal Reserve System,yield such benefits more effectively than alternative methods;
1-16,1,16,2022-01-20,Board of Governors of the Federal Reserve System,"complement, rather than replace, current forms of money and methods for providing financial services;"
1-17,1,17,2022-01-20,Board of Governors of the Federal Reserve System,protect consumer privacy;
1-18,1,18,2022-01-20,Board of Governors of the Federal Reserve System,protect against criminal activity; and
1-19,1,19,2022-01-20,Board of Governors of the Federal Reserve System,have broad support from key stakeholders.
1-20,1,20,2022-01-20,Board of Governors of the Federal Reserve System,The Federal Reserve is committed to soliciting and reviewing a wide range of views as it continues to study whether a U.S. CBDC would be appropriate.
1-21,1,21,2022-01-20,Board of Governors of the Federal Reserve System,"Irrespective of any ultimate conclusion, Federal Reserve staff will continue to play an active role in developing international standards for CBDCs."
1-22,1,22,2022-01-20,Board of Governors of the Federal Reserve System,"This paper begins with a discussion of existing forms of money; the current state of the U.S. payment system and its relative strengths and challenges; and the various digital assets that have emerged in recent years, including stablecoins and other cryptocurrencies."
1-23,1,23,2022-01-20,Board of Governors of the Federal Reserve System,"The paper then turns to CBDC, focusing on its uses and functions; potential benefits and risks; and related policy considerations."
1-24,1,24,2022-01-20,Board of Governors of the Federal Reserve System,"The Federal Reserve's initial analysis suggests that a potential U.S. CBDC, if one were created, would best serve the needs of the United States by being privacy-protected, intermediated, widely transferable, and identity-verified."
1-25,1,25,2022-01-20,Board of Governors of the Federal Reserve System,"As noted above, however, the paper is not intended to advance a specific policy outcome and takes no position on the ultimate desirability of a U.S. CBDC."
1-26,1,26,2022-01-20,Board of Governors of the Federal Reserve System,The Federal Reserve will seek input from a wide range of stakeholders that might use a CBDC or be affected by its introduction.
1-27,1,27,2022-01-20,Board of Governors of the Federal Reserve System,"This paper concludes with a request for public comment, the first step in a broad consultation that will also include targeted outreach and public forums."
1-28,1,28,2022-01-20,Board of Governors of the Federal Reserve System,"The Federal Reserve is exploring the implications of, and options for, issuing a CBDC."
1-29,1,29,2022-01-20,Board of Governors of the Federal Reserve System,"For the purpose of this paper, a CBDC is defined as a digital liability of the Federal Reserve that is widely available to the general public."
1-30,1,30,2022-01-20,Board of Governors of the Federal Reserve System,"While Americans have long held money predominantly in digital form—for example in bank accounts recorded as computer entries on commercial bank ledgers—a CBDC would differ from existing digital money available to the general public because a CBDC would be a liability of the Federal Reserve, not of a commercial bank."
